propertyCode,latitude,longitude
105109668,40.4527848,-3.686834
105155727,40.4584801,-3.6252091
105205924,40.4569718,-3.6779203
105276550,40.4265718,-3.6751375
105624633,40.4215005,-3.7044452
102043012,40.4615205,-3.6780267
103997327,40.4261657,-3.6761755
104611757,40.4681346,-3.7271232
100843738,40.4643308,-3.680694
105122568,40.4263018,-3.6696419
102093483,40.4125053,-3.6882492
105326648,40.4454507,-3.6149783
103334938,40.4715212,-3.8144169
104804013,40.4650015,-3.6869952
106133910,40.4001408,-3.7045885
102922909,40.4521387,-3.6664768
105622597,40.4944579,-3.6539668
103933173,40.4877021,-3.670201
105229967,40.4372004,-3.7041798
105456571,40.4651659,-3.6785518
105438638,40.4282503,-3.7107826
105003804,40.4322716,-3.7223126
106167991,40.4237288,-3.6795971
105033854,40.4276093,-3.6760078
106018836,40.4567517,-3.6806598
105704914,40.4359368,-3.7169046
102389393,40.421072,-3.6768439
100843565,40.464567,-3.6831311
103342470,40.4737336,-3.7501349
28839965,40.4760715,-3.8289866
103610280,40.4276236,-3.6778716
105133420,40.4345429,-3.6931036
104613472,40.4287757,-3.6985114
103775089,40.459624,-3.6906709
97416073,40.4329034,-3.6893372
101133402,40.4382632,-3.6823748
105547133,40.4734429,-3.734196
105943886,40.4758298,-3.7386552
104428294,40.4762039,-3.8294604
103682987,40.4756922,-3.8261937
105447635,40.5104441,-3.6974329
103628504,40.4692232,-3.8122808
105205924,40.4569718,-3.6779203
105276550,40.4265718,-3.6751375
105624633,40.4215005,-3.7044452
102043012,40.4615205,-3.6780267
103997327,40.4261657,-3.6761755
104611757,40.4681346,-3.7271232
100843738,40.4643308,-3.680694
105122568,40.4263018,-3.6696419
102093483,40.4125053,-3.6882492
105326648,40.4454507,-3.6149783
103334938,40.4715212,-3.8144169
104804013,40.4650015,-3.6869952
106133910,40.4001408,-3.7045885
102922909,40.4521387,-3.6664768
105622597,40.4944579,-3.6539668
103933173,40.4877021,-3.670201
105229967,40.4372004,-3.7041798
105456571,40.4651659,-3.6785518
105438638,40.4282503,-3.7107826
105003804,40.4322716,-3.7223126
106167991,40.4237288,-3.6795971
105033854,40.4276093,-3.6760078
106018836,40.4567517,-3.6806598
105704914,40.4359368,-3.7169046
102389393,40.421072,-3.6768439
100843565,40.464567,-3.6831311
103342470,40.4737336,-3.7501349
28839965,40.4760715,-3.8289866
103610280,40.4276236,-3.6778716
105133420,40.4345429,-3.6931036
104613472,40.4287757,-3.6985114
103775089,40.459624,-3.6906709
97416073,40.4329034,-3.6893372
101133402,40.4382632,-3.6823748
105547133,40.4734429,-3.734196
105943886,40.4758298,-3.7386552
104428294,40.4762039,-3.8294604
103682987,40.4756922,-3.8261937
105447635,40.5104441,-3.6974329
103628504,40.4692232,-3.8122808
104983919,40.4120886,-3.7000461
28853762,40.4498754,-3.6223596
105692476,40.4077853,-3.7199538
105965544,40.4724082,-3.7509219
105939781,40.4602157,-3.6909238
104566289,40.4244688,-3.6718166
104870436,40.47234,-3.6868329
105975586,40.4087841,-3.7044692
105501144,40.4306837,-3.6808062
105329169,40.4344853,-3.678906
103094871,40.4204574,-3.6755002
106185285,40.4787013,-3.738231
105980504,40.3938949,-3.683773
105505309,40.4288958,-3.6824906
104870397,40.4758656,-3.6858161
105781276,40.3884961,-3.687323
102455413,40.4365688,-3.6848098
102634540,40.4550425,-3.6249216
101329238,40.4224304,-3.6702581
105882131,40.3916087,-3.7024861
104812684,40.4535355,-3.666009
100736950,40.4236102,-3.6859998
104544416,40.4202997,-3.6751845
105885694,40.45846,-3.6756148
105697150,40.4005953,-3.7184088
103005702,40.4157254,-3.7133075
105575130,40.4134506,-3.6984233
105913955,40.4142752,-3.6954348
93752362,40.4704826,-3.7295494
103967986,40.4932358,-3.7066606
103366793,40.4589323,-3.6239163
104161105,40.4503832,-3.6424965
105615858,40.4709003,-3.8109539
105510209,40.4385048,-3.6868226
105528295,40.4265926,-3.6748106
106151385,40.4144165,-3.7097913
105521069,40.4160307,-3.7113659
106158829,40.4674736,-3.6883439
105887409,40.4212954,-3.6760126
106149242,40.4356805,-3.6929
