propertyCode,url,address,size,floor,province,municipality,district,price,rooms,hasLift,hasParking,hasTerrace,hasSwimmingPool,hasAirConditioning,hasGarden,bathrooms
105155727,https://www.idealista.com/inmueble/105155727/,avenida de Machupichu,141.0,4,Madrid,Madrid,Hortaleza,870000.0,3,True,True,True,True,True,True,2
103666203,https://www.idealista.com/inmueble/103666203/,"avenida de América, 37",236.0,2,Madrid,Madrid,Chamartín,1100000.0,3,True,True,False,False,True,False,3
105155727,https://www.idealista.com/inmueble/105155727/,avenida de Machupichu,141.0,4,Madrid,Madrid,Hortaleza,870000.0,3,True,True,True,True,True,True,2
105020455,https://www.idealista.com/inmueble/105020455/,subdistrict Almagro,196.0,7,Madrid,Madrid,Chamberí,1895000.0,3,True,True,True,False,False,False,2
102911946,https://www.idealista.com/inmueble/102911946/,calle de Villanueva,238.0,1,Madrid,Madrid,Barrio de Salamanca,3750000.0,4,True,,False,False,True,False,3
104952998,https://www.idealista.com/inmueble/104952998/,calle del Duque de Sesto,133.0,1,Madrid,Madrid,Barrio de Salamanca,1350000.0,2,True,,False,False,True,False,3
105368182,https://www.idealista.com/inmueble/105368182/,avenida de Pío XII,187.0,2,Madrid,Madrid,Chamartín,950000.0,4,True,True,True,True,True,True,3
104747069,https://www.idealista.com/inmueble/104747069/,calle de Goya no number,379.0,3,Madrid,Madrid,Barrio de Salamanca,3600000.0,5,True,,False,False,True,False,5
99095593,https://www.idealista.com/inmueble/99095593/,calle SEGOVIA,171.0,7,Madrid,Madrid,Centro,1175000.0,4,True,,True,False,True,False,3
105014946,https://www.idealista.com/inmueble/105014946/,calle de Serrano,231.0,2,Madrid,Madrid,Barrio de Salamanca,3600000.0,3,True,True,,,True,,4
105070649,https://www.idealista.com/inmueble/105070649/,"calle de Cambrils, 3 --B",753.0,,Madrid,Madrid,Fuencarral,2460000.0,7,,True,True,True,True,True,6
105278937,https://www.idealista.com/inmueble/105278937/,calle del Doctor Esquerdo,123.0,2,Madrid,Madrid,Retiro,629000.0,5,True,,False,False,True,False,2
101956879,https://www.idealista.com/inmueble/101956879/,ZUMARRAGA,780.0,,Madrid,Madrid,Moncloa,2950000.0,5,,True,True,True,False,True,5
105902277,https://www.idealista.com/inmueble/105902277/,subdistrict Palacio,53.0,2,Madrid,Madrid,Centro,430000.0,1,False,,False,False,True,False,1
106158684,https://www.idealista.com/inmueble/106158684/,calle del Conde de Peñalver,170.0,4,Madrid,Madrid,Barrio de Salamanca,2300000.0,3,True,,True,False,False,False,2
105904277,https://www.idealista.com/inmueble/105904277/,subdistrict Las Tablas,114.0,6,Madrid,Madrid,Fuencarral,640000.0,3,True,True,False,True,False,True,3
101144968,https://www.idealista.com/inmueble/101144968/,PARADORES,1500.0,,Madrid,Madrid,Moncloa,3100000.0,6,,True,True,True,True,True,7
105392078,https://www.idealista.com/inmueble/105392078/,calle de Hermosilla,115.0,1,Madrid,Madrid,Barrio de Salamanca,1420000.0,2,True,,False,False,True,False,3
105580740,https://www.idealista.com/inmueble/105580740/,"calle del Monasterio de las Batuecas, 23",163.0,bj,Madrid,Madrid,Fuencarral,727000.0,3,True,True,True,True,True,True,2
105574069,https://www.idealista.com/inmueble/105574069/,subdistrict Las Tablas,73.0,6,Madrid,Madrid,Fuencarral,560000.0,2,True,True,True,True,True,True,1
93038743,https://www.idealista.com/inmueble/93038743/,subdistrict Valdemarín,340.0,2,Madrid,Madrid,Moncloa,1450000.0,5,True,True,True,True,True,True,5
105199032,https://www.idealista.com/inmueble/105199032/,subdistrict Palacio,154.0,2,Madrid,Madrid,Centro,1113000.0,4,True,,False,False,False,False,2
