propertyCode,latitude,longitude
103355651,40.3998472,-3.6732014
105449412,40.4382936,-3.6800193
104400450,40.480505,-3.741754
105968310,40.4102873,-3.714951
104747069,40.4249551,-3.679256
103666203,40.4398635,-3.6719725
99095593,40.4124895,-3.7133811
105368182,40.4708801,-3.6735061
102911946,40.4214058,-3.6871181
105155727,40.4584801,-3.6252091
105109668,40.4527848,-3.686834
105014946,40.4294393,-3.6860447
105887409,40.4212954,-3.6760126
105278937,40.3999235,-3.6740851
101956879,40.4717172,-3.8149412
105070649,40.4871271,-3.7090622
105773894,40.4126334,-3.7118016
106248523,40.4872024,-3.6663497
105096645,40.4573014,-3.7601068
105157792,40.4037113,-3.7150774
105408203,40.4354464,-3.7162905
105007500,40.4560866,-3.6426633
105315233,40.4208398,-3.7098833
106267284,40.4529143,-3.6885621
106158684,40.4301167,-3.6736918
105904277,40.4953647,-3.672905
101144968,40.4765946,-3.8322623
106252040,40.4349181,-3.7047464
106280453,40.407724,-3.7244077
106148814,40.4267983,-3.7009646
105392078,40.4266675,-3.6779713
105580740,40.5061093,-3.7045233
105959710,40.4024439,-3.7061493
105609718,40.4706923,-3.7877156
105574069,40.4993172,-3.6718439
105199032,40.4129948,-3.708349
93038743,40.4694222,-3.7858806
94914491,40.4547135,-3.6317056
99851911,40.4186085,-3.7036609
103365843,40.4190631,-3.7045525
106037939,40.4243678,-3.6668608
105569931,40.4447782,-3.6552869
106279559,40.4829374,-3.6757307
104180285,40.452523,-3.6356945
104499449,40.4237408,-3.668904
105952875,40.4603808,-3.6315309
106054735,40.3961778,-3.6972992
96157390,40.4218254,-3.6899761
104602745,40.4255088,-3.6949321
104177407,40.4692298,-3.7263192
104356208,40.4250248,-3.7191574
104281658,40.4855961,-3.7102227
106095508,40.4604894,-3.5856548
106249087,40.4303289,-3.6695381
105959560,40.4558749,-3.787606
104611757,40.4681346,-3.7271232
102093483,40.4125053,-3.6882492
100843738,40.4643308,-3.680694
105276550,40.4265718,-3.6751375
103997327,40.4261657,-3.6761755
102043012,40.4615205,-3.6780267
105326648,40.4454507,-3.6149783
105122568,40.4263018,-3.6696419
101215323,40.4220221,-3.6768369
105205924,40.4569718,-3.6779203
105229967,40.4372004,-3.7041798
104804013,40.4650015,-3.6869952
103933173,40.4877021,-3.670201
102922909,40.4521387,-3.6664768
